Student_ID,Attendance,Study_Hours,CGPA,Internal_Marks,Assignment_Score,Communication_Skills,Project_Score,Placement_Status
STU00001,71.11,4.36,2.85,69.82,68.39,High,82.59,Placed
STU00002,95.88,4.0,3.38,78.3,84.62,Medium,88.93,Placed
STU00003,86.48,2.59,3.13,71.63,75.23,Low,79.81,Placed
STU00004,80.74,6.47,3.25,82.8,79.38,Low,85.26,Placed
STU00005,61.71,5.29,3.23,75.78,56.18,Medium,86.0,Placed
STU00006,61.71,8.79,3.48,66.42,64.04,High,100.0,Placed
STU00007,57.5,1.29,2.16,78.23,50.0,Low,71.05,Not Placed
STU00008,92.25,6.79,3.77,82.35,84.58,High,88.65,Placed
STU00009,80.85,7.87,3.58,80.03,82.56,Medium,97.14,Placed
STU00010,85.45,7.84,3.69,92.7,83.91,High,100.0,Placed
STU00011,55.89,8.97,3.37,74.44,69.15,High,100.0,Placed
STU00012,96.71,7.56,3.71,90.23,95.34,High,100.0,Placed
STU00013,90.8,9.35,4.0,85.06,98.37,Low,96.26,Placed
STU00014,64.13,3.99,2.77,66.6,60.94,High,81.3,Placed
STU00015,62.82,5.53,2.81,82.2,60.76,Low,82.38,Placed
STU00016,62.89,1.13,2.44,73.96,50.0,Low,74.68,Not Placed
STU00017,68.08,1.06,2.25,71.6,55.66,Medium,65.38,Placed
STU00018,77.56,3.16,2.71,74.41,81.21,Medium,74.14,Placed
STU00019,73.57,1.91,2.82,76.82,53.65,Medium,76.99,Placed
STU00020,67.52,3.34,2.58,64.86,59.29,High,72.92,Placed
STU00021,81.31,2.59,2.51,70.69,60.65,High,76.6,Placed
STU00022,61.0,1.26,2.45,64.72,50.0,Low,61.79,Not Placed
STU00023,67.56,9.18,3.6,76.2,72.56,High,100.0,Placed
STU00024,70.75,1.07,2.44,71.33,54.11,Low,57.62,Not Placed
STU00025,74.61,7.62,3.47,87.38,78.49,Medium,99.43,Placed
STU00026,88.76,2.37,2.97,73.74,70.18,Medium,76.55,Placed
STU00027,63.59,9.21,3.47,80.61,62.8,High,90.9,Placed
STU00028,77.11,9.04,3.98,82.11,92.35,High,100.0,Placed
STU00029,80.47,6.89,3.27,79.26,85.07,Low,95.88,Placed
STU00030,57.0,7.05,3.23,82.55,60.96,High,97.18,Placed
STU00031,81.12,1.05,2.72,76.6,57.68,Medium,79.93,Placed
STU00032,62.33,9.86,3.55,85.33,74.97,Low,95.94,Placed
STU00033,57.8,8.9,3.3,76.49,70.11,Medium,96.81,Placed
STU00034,95.8,9.06,4.0,84.75,100.0,Medium,94.22,Placed
STU00035,96.52,6.93,3.59,87.05,98.19,Medium,95.15,Placed
STU00036,89.76,4.1,3.12,81.51,85.42,Low,86.11,Placed
STU00037,68.1,9.04,3.76,84.27,66.16,High,98.82,Placed
STU00038,59.2,3.62,2.69,70.11,51.4,Low,69.94,Placed
STU00039,84.42,6.06,3.16,83.71,86.69,High,85.72,Placed
STU00040,73.93,1.9,2.91,73.07,54.29,High,87.39,Placed
STU00041,60.25,9.3,3.47,85.36,78.41,Medium,100.0,Placed
STU00042,76.29,2.27,2.67,71.4,73.7,Low,73.85,Placed
STU00043,56.48,3.02,2.59,65.83,56.4,Medium,76.14,Placed
STU00044,94.1,6.02,3.66,91.97,92.32,High,95.56,Placed
STU00045,66.13,7.88,3.72,85.21,68.85,High,90.18,Placed
STU00046,83.49,6.57,3.24,75.32,83.2,Low,83.06,Placed
STU00047,68.4,3.09,2.86,67.41,50.91,Medium,76.13,Placed
STU00048,77.36,1.01,2.67,65.63,55.23,Medium,71.19,Placed
STU00049,78.51,7.81,3.58,81.09,76.99,Medium,100.0,Placed
STU00050,62.95,9.87,3.79,95.13,75.33,Medium,100.0,Placed
STU00051,96.69,8.29,4.0,85.08,94.87,High,98.99,Placed
STU00052,88.33,5.14,3.14,84.9,82.66,Medium,86.96,Placed
STU00053,95.4,9.13,4.0,87.35,100.0,High,93.14,Placed
STU00054,93.48,4.69,3.12,71.55,79.59,High,81.07,Placed
STU00055,80.71,5.72,3.15,75.42,77.63,Medium,84.2,Placed
STU00056,94.64,5.29,3.42,74.69,84.1,Medium,84.73,Placed
STU00057,58.81,5.03,3.18,73.82,58.27,Low,92.98,Placed
STU00058,63.43,7.98,3.35,75.79,73.79,High,97.77,Placed
STU00059,56.94,5.74,2.96,66.01,63.31,Medium,80.03,Placed
STU00060,68.99,3.85,3.08,84.49,65.76,Medium,77.14,Placed
STU00061,71.71,3.32,2.78,74.41,64.82,High,73.14,Placed
STU00062,66.67,1.34,2.27,63.86,50.0,Low,69.49,Not Placed
STU00063,90.64,6.25,3.48,82.92,79.77,Medium,93.34,Placed
STU00064,70.34,3.07,2.97,71.48,55.54,Medium,82.93,Placed
STU00065,67.08,2.33,2.62,58.05,57.82,Low,70.76,Placed
STU00066,78.34,6.88,3.75,99.75,70.58,Low,95.35,Placed
STU00067,61.06,7.13,3.35,81.1,67.27,Medium,92.44,Placed
STU00068,89.49,7.77,3.66,80.99,91.49,High,100.0,Placed
STU00069,58.21,5.53,2.96,65.86,50.0,Medium,89.54,Placed
STU00070,97.44,9.05,3.94,79.82,93.56,High,95.32,Placed
STU00071,88.21,9.43,3.89,94.92,100.0,Medium,93.3,Placed
STU00072,63.54,8.27,4.0,95.51,74.82,High,100.0,Placed
STU00073,55.24,6.72,3.24,82.64,54.25,Low,87.65,Placed
STU00074,90.06,3.73,3.29,73.91,72.04,Low,80.56,Placed
STU00075,85.39,9.85,3.91,94.52,78.15,Medium,100.0,Placed
STU00076,86.35,3.47,3.3,81.86,83.31,Medium,87.84,Placed
STU00077,88.16,2.82,3.16,81.21,74.25,High,74.74,Placed
STU00078,58.18,4.98,3.15,80.05,67.79,Medium,95.72,Placed
STU00079,70.41,1.51,2.81,66.16,54.72,Low,72.51,Placed
STU00080,59.98,9.81,3.4,74.8,74.1,Medium,100.0,Placed
STU00081,92.11,6.3,3.41,78.36,92.93,Medium,88.34,Placed
STU00082,81.8,6.01,3.23,81.96,88.31,Low,81.72,Placed
STU00083,69.23,6.9,3.18,71.28,74.1,High,89.9,Placed
STU00084,57.73,5.47,2.99,74.95,57.62,Medium,79.53,Placed
STU00085,68.37,1.29,2.38,67.72,53.73,Low,72.15,Not Placed
STU00086,68.98,6.51,3.57,86.83,63.44,High,93.62,Placed
STU00087,86.37,7.45,3.95,90.75,84.14,High,95.9,Placed
STU00088,82.41,4.75,3.2,73.32,75.49,High,87.24,Placed
STU00089,93.15,7.82,4.0,95.23,100.0,High,100.0,Placed
STU00090,75.31,3.04,3.06,70.89,61.79,Medium,81.13,Placed
STU00091,60.14,2.99,2.53,75.86,58.46,High,72.67,Placed
STU00092,85.67,2.45,2.6,68.47,70.4,High,77.92,Placed
STU00093,87.71,4.35,3.19,79.04,85.68,Medium,87.76,Placed
STU00094,79.13,8.62,3.63,84.74,88.24,High,97.16,Placed
STU00095,88.15,8.45,3.87,87.44,94.53,Medium,100.0,Placed
STU00096,76.23,4.45,3.07,80.26,75.2,Low,83.13,Placed
STU00097,77.48,6.3,3.37,82.36,80.89,High,98.71,Placed
STU00098,73.38,7.49,3.55,86.55,82.55,High,92.23,Placed
STU00099,56.09,3.17,2.39,70.94,62.18,Medium,79.45,Not Placed
STU00100,59.64,2.51,2.58,64.68,59.95,Medium,74.76,Placed
STU00101,56.35,9.75,3.49,83.25,72.13,Low,100.0,Placed
STU00102,82.37,6.56,3.5,79.17,77.92,Medium,82.98,Placed
STU00103,68.52,9.83,3.9,81.21,81.51,High,100.0,Placed
STU00104,76.87,4.04,2.83,72.45,57.06,Medium,82.92,Placed
STU00105,94.03,7.33,3.72,85.52,97.18,High,100.0,Placed
STU00106,65.72,3.0,2.67,73.27,50.23,Medium,70.8,Placed
STU00107,72.65,3.35,2.77,78.46,69.9,Medium,80.21,Placed
STU00108,87.49,5.61,3.54,89.0,93.69,High,90.7,Placed
STU00109,64.84,3.88,2.7,74.03,50.0,High,74.43,Placed
STU00110,58.31,2.51,2.42,71.6,50.0,Medium,80.62,Placed
STU00111,67.46,3.37,2.66,72.4,52.68,Low,79.07,Placed
STU00112,61.93,1.32,2.54,74.33,50.0,High,72.78,Placed
STU00113,94.98,7.34,3.7,86.86,92.36,Medium,99.82,Placed
STU00114,89.75,5.43,3.48,81.48,86.9,Medium,86.38,Placed
STU00115,82.24,1.85,3.06,87.45,70.86,High,80.07,Placed
STU00116,92.47,2.55,3.01,73.36,77.54,Low,80.62,Placed
STU00117,89.56,1.92,3.05,83.86,62.43,Medium,80.0,Placed
STU00118,63.02,6.51,3.42,74.31,65.7,Medium,97.39,Placed
STU00119,93.38,1.85,3.08,81.05,66.29,Medium,77.39,Placed
STU00120,78.19,7.79,3.59,90.25,72.36,High,93.81,Placed
STU00121,89.72,1.18,2.87,64.9,64.35,High,73.0,Placed
STU00122,93.53,3.24,2.95,76.05,85.86,Low,77.68,Placed
STU00123,68.67,9.02,3.52,85.76,80.26,Low,100.0,Placed
STU00124,59.73,7.47,3.18,79.36,67.12,High,91.33,Placed
STU00125,64.8,1.66,2.81,75.57,50.0,Medium,81.49,Placed
STU00126,73.37,8.39,3.49,82.53,76.54,Low,98.01,Placed
STU00127,90.17,5.44,3.29,74.06,75.23,Medium,84.44,Placed
STU00128,92.01,8.62,3.77,97.04,100.0,Low,92.37,Placed
